"Concatenated","relaxed.arboreal","toepads"
"Aristelliger_georgeensis","1",1
"Aristelliger_lar","1",1
"Aristelliger_praesignis","1",1
"Arthrosaura_kockii","0",0
"Arthrosaura_reticulata","0",0
"Asaccus_platyrhynchus","0",1
"Aspidoscelis_burti","0",0
"Aspidoscelis_ceralbensis","0",0
"Aspidoscelis_communis","0",0
"Aspidoscelis_costatus","0",0
"Aspidoscelis_deppii","0",0
"Aspidoscelis_gularis","0",0
"Aspidoscelis_guttatus","0",0
"Aspidoscelis_hyperythrus","0",0
"Aspidoscelis_inornatus","0",0
"Aspidoscelis_laredoensis","0",0
"Aspidoscelis_lineattissimus","0",0
"Aspidoscelis_marmoratus","0",0
"Aspidoscelis_sexlineatus","0",0
"Aspidoscelis_tigris","0",0
"Aspidoscelis_velox","0",0
"Aspronema_dorsivittatum","0",0
"Asymblepharus_alaicus","0",0
"Asymblepharus_sikimmensis","0",0
"Ateuchosaurus_pellopleurus","0",0
"Atlantolacerta_andreanskyi","0",0
"Aurivela_longicauda","0",0
"Australolacerta_australis","0",0
"Barisia_herrerae","1",0
"Barisia_imbricata","0",0
"Barisia_levicollis","0",0
"Barisia_rudicollis","0",0
"Basiliscus_basiliscus","0",0
"Basiliscus_galeritus","0",0
"Basiliscus_plumifrons","0",0
"Basiliscus_vittatus","0",0
"Bassiana_duperreyi","0",0
"Bassiana_trilineata","0",0
"Bavayia_cyclura","1",1
"Bavayia_geitaina","1",1
"Bavayia_goroensis","1",1
"Bavayia_montana","1",1
"Bavayia_ornata","1",1
"Bavayia_pulchella","1",1
"Bavayia_sauvagii","1",1
"Blaesodactylus_antongilensis","1",1
"Blaesodactylus_boivini","1",1
"Blaesodactylus_sakalava","1",1
"Brachylophus_fasciatus","1",0
"Brachylophus_vitiensis","1",0
"Brachymeles_schadenbergi","0",0
"Brachyseps_anosyensis","0",0
"Brachyseps_macrocercus","0",0
"Brachyseps_punctatus","1",0
"Bradypodion_atromontanum","1",0
"Bradypodion_caffer","1",0
"Bradypodion_damaranum","1",0
"Bradypodion_dracomontanum","1",0
"Bradypodion_gutturale","1",0
"Bradypodion_melanocephalum","1",0
"Bradypodion_nemorale","1",0
"Bradypodion_occidentale","1",0
"Bradypodion_pumilum","1",0
"Bradypodion_setaroi","1",0
"Bradypodion_taeniabronchum","1",0
"Bradypodion_thamnobates","1",0
"Bradypodion_transvaalense","1",0
"Bradypodion_ventrale","1",0
"Brasiliscincus_agilis","0",0
"Brasiliscincus_caissara","1",0
"Brasiliscincus_heathi","0",0
"Broadleysaurus_major","0",0
"Bronchocela_cristatella","1",0
"Brookesia_ambreensis","0",0
"Brookesia_antakarana","0",0
"Brookesia_betschi","1",0
"Brookesia_bonsi","0",0
"Brookesia_brygooi","0",0
"Brookesia_decaryi","0",0
"Brookesia_dentata","0",0
"Brookesia_ebenaui","1",0
"Brookesia_exarmata","1",0
"Brookesia_griveaudi","0",0
"Brookesia_karchei","0",0
"Brookesia_lineata","0",0
"Brookesia_minima","0",0
"Brookesia_perarmata","1",0
"Brookesia_peyrierasi","0",0
"Brookesia_stumpffi","0",0
"Brookesia_superciliaris","1",0
"Brookesia_therezieni","0",0
"Brookesia_thieli","1",0
"Brookesia_tuberculata","0",0
"Brookesia_vadoni","1",0
"Brookesia_valerieae","0",0
"Bufoniceps_laungwalaensis","0",0
"Bunopus_crassicauda","0",0
"Bunopus_tuberculatus","0",0
"Caesoris_novaecaledoniae","1",0
"Caledoniscincus_aquilonius","0",0
"Caledoniscincus_atropunctatus","0",0
"Caledoniscincus_auratus","0",0
"Caledoniscincus_austrocaledonicus","0",0
"Caledoniscincus_chazeaui","0",0
"Caledoniscincus_festivus","0",0
"Caledoniscincus_haplorhinus","0",0
"Caledoniscincus_orestes","0",0
"Caledoniscincus_renevieri","0",0
"Caledoniscincus_terma","0",0
"Callisaurus_draconoides","0",0
"Callopistes_flavipunctatus","0",0
"Callopistes_maculatus","0",0
"Calodactylodes_aureus","0",1
"Calodactylodes_illingworthorum","0",1
"Calotes_calotes","1",0
"Calotes_ceylonensis","1",0
"Calotes_chincollium","1",0
"Calotes_emma","1",0
"Calotes_htunwini","1",0
"Calotes_irawadi","1",0
"Calotes_liocephalus","1",0
"Calotes_liolepis","1",0
"Calotes_mystaceus","1",0
"Calotes_nigrilabris","1",0
"Calotes_versicolor","1",0
